Date,Product_ID,Product_Name,Category,Sales_Quantity,Price,Current_Stock,Month,DayOfWeek,Season
2025-01-02,P014,Hard Disk,Storage,232,4000,757,1,Thursday,Winter
2025-01-02,P015,USB Drive,Storage,116,700,289,1,Thursday,Winter
2025-01-02,P016,Power Bank,Accessories,102,1200,738,1,Thursday,Winter
2025-01-02,P017,Microphone,Accessories,58,2800,933,1,Thursday,Winter
2025-01-02,P018,Projector,Office Equipment,111,35000,432,1,Thursday,Winter
2025-01-02,P019,Gaming Console,Electronics,214,45000,264,1,Thursday,Winter
2025-01-02,P020,Webcam,Accessories,188,2200,935,1,Thursday,Winter
2025-01-03,P001,Laptop,Electronics,61,55000,1112,1,Friday,Winter
2025-01-03,P002,Smartphone,Electronics,152,25000,664,1,Friday,Winter
2025-01-03,P003,Headphones,Accessories,124,2500,529,1,Friday,Winter
2025-01-03,P004,Keyboard,Accessories,125,1500,999,1,Friday,Winter
2025-01-03,P005,Mouse,Accessories,236,800,983,1,Friday,Winter
2025-01-03,P006,Monitor,Electronics,178,12000,691,1,Friday,Winter
2025-01-03,P007,Printer,Office Equipment,150,15000,316,1,Friday,Winter
2025-01-03,P008,Tablet,Electronics,89,18000,953,1,Friday,Winter
2025-01-03,P009,Smartwatch,Electronics,123,5000,875,1,Friday,Winter
2025-01-03,P010,Camera,Electronics,175,30000,289,1,Friday,Winter
2025-01-03,P011,Speaker,Accessories,115,3500,382,1,Friday,Winter
2025-01-03,P012,Router,Networking,188,2500,1078,1,Friday,Winter
2025-01-03,P013,SSD,Storage,167,4500,329,1,Friday,Winter
2025-01-03,P014,Hard Disk,Storage,219,4000,932,1,Friday,Winter
2025-01-03,P015,USB Drive,Storage,190,700,894,1,Friday,Winter
2025-01-03,P016,Power Bank,Accessories,120,1200,232,1,Friday,Winter
2025-01-03,P017,Microphone,Accessories,211,2800,730,1,Friday,Winter
2025-01-03,P018,Projector,Office Equipment,102,35000,481,1,Friday,Winter
2025-01-03,P019,Gaming Console,Electronics,146,45000,709,1,Friday,Winter
2025-01-03,P020,Webcam,Accessories,238,2200,636,1,Friday,Winter
2025-01-04,P001,Laptop,Electronics,172,55000,1111,1,Saturday,Winter
2025-01-04,P002,Smartphone,Electronics,210,25000,1062,1,Saturday,Winter
2025-01-04,P003,Headphones,Accessories,233,2500,526,1,Saturday,Winter
2025-01-04,P004,Keyboard,Accessories,144,1500,785,1,Saturday,Winter
2025-01-04,P005,Mouse,Accessories,225,800,1104,1,Saturday,Winter
2025-01-04,P006,Monitor,Electronics,157,12000,530,1,Saturday,Winter
2025-01-04,P007,Printer,Office Equipment,67,15000,1111,1,Saturday,Winter
2025-01-04,P008,Tablet,Electronics,177,18000,1145,1,Saturday,Winter
2025-01-04,P009,Smartwatch,Electronics,62,5000,319,1,Saturday,Winter
2025-01-04,P010,Camera,Electronics,229,30000,665,1,Saturday,Winter
2025-01-04,P011,Speaker,Accessories,59,3500,775,1,Saturday,Winter
2025-01-04,P012,Router,Networking,69,2500,1180,1,Saturday,Winter
2025-01-04,P013,SSD,Storage,132,4500,1135,1,Saturday,Winter
2025-01-04,P014,Hard Disk,Storage,246,4000,302,1,Saturday,Winter
2025-01-04,P015,USB Drive,Storage,205,700,828,1,Saturday,Winter
2025-01-04,P016,Power Bank,Accessories,74,1200,462,1,Saturday,Winter
2025-01-04,P017,Microphone,Accessories,185,2800,317,1,Saturday,Winter
2025-01-04,P018,Projector,Office Equipment,160,35000,906,1,Saturday,Winter
2025-01-04,P019,Gaming Console,Electronics,126,45000,791,1,Saturday,Winter
2025-01-04,P020,Webcam,Accessories,64,2200,616,1,Saturday,Winter
2025-01-05,P001,Laptop,Electronics,126,55000,473,1,Sunday,Winter
2025-01-05,P002,Smartphone,Electronics,88,25000,444,1,Sunday,Winter
2025-01-05,P003,Headphones,Accessories,239,2500,1083,1,Sunday,Winter
2025-01-05,P004,Keyboard,Accessories,53,1500,955,1,Sunday,Winter
2025-01-05,P005,Mouse,Accessories,76,800,347,1,Sunday,Winter
2025-01-05,P006,Monitor,Electronics,141,12000,760,1,Sunday,Winter
2025-01-05,P007,Printer,Office Equipment,221,15000,993,1,Sunday,Winter
2025-01-05,P008,Tablet,Electronics,55,18000,795,1,Sunday,Winter
2025-01-05,P009,Smartwatch,Electronics,186,5000,1160,1,Sunday,Winter
2025-01-05,P010,Camera,Electronics,163,30000,992,1,Sunday,Winter
2025-01-05,P011,Speaker,Accessories,165,3500,912,1,Sunday,Winter
2025-01-05,P012,Router,Networking,224,2500,460,1,Sunday,Winter
2025-01-05,P013,SSD,Storage,245,4500,359,1,Sunday,Winter
2025-01-05,P014,Hard Disk,Storage,210,4000,834,1,Sunday,Winter
2025-01-05,P015,USB Drive,Storage,186,700,547,1,Sunday,Winter
2025-01-05,P016,Power Bank,Accessories,86,1200,768,1,Sunday,Winter
2025-01-05,P017,Microphone,Accessories,168,2800,654,1,Sunday,Winter
2025-01-05,P018,Projector,Office Equipment,111,35000,510,1,Sunday,Winter
2025-01-05,P019,Gaming Console,Electronics,141,45000,830,1,Sunday,Winter
2025-01-05,P020,Webcam,Accessories,106,2200,1164,1,Sunday,Winter
2025-01-06,P001,Laptop,Electronics,175,55000,922,1,Monday,Winter
2025-01-06,P002,Smartphone,Electronics,93,25000,545,1,Monday,Winter
2025-01-06,P003,Headphones,Accessories,121,2500,972,1,Monday,Winter
2025-01-06,P004,Keyboard,Accessories,248,1500,620,1,Monday,Winter
2025-01-06,P005,Mouse,Accessories,129,800,1068,1,Monday,Winter
2025-01-06,P006,Monitor,Electronics,183,12000,1068,1,Monday,Winter
2025-01-06,P007,Printer,Office Equipment,226,15000,343,1,Monday,Winter
2025-01-06,P008,Tablet,Electronics,85,18000,691,1,Monday,Winter
2025-01-06,P009,Smartwatch,Electronics,149,5000,262,1,Monday,Winter
2025-01-06,P010,Camera,Electronics,138,30000,557,1,Monday,Winter
2025-01-06,P011,Speaker,Accessories,201,3500,666,1,Monday,Winter
2025-01-06,P012,Router,Networking,182,2500,1048,1,Monday,Winter
2025-01-06,P013,SSD,Storage,140,4500,972,1,Monday,Winter
2025-01-06,P014,Hard Disk,Storage,238,4000,893,1,Monday,Winter
2025-01-06,P015,USB Drive,Storage,210,700,1166,1,Monday,Winter
2025-01-06,P016,Power Bank,Accessories,64,1200,799,1,Monday,Winter
2025-01-06,P017,Microphone,Accessories,172,2800,785,1,Monday,Winter
2025-01-06,P018,Projector,Office Equipment,232,35000,908,1,Monday,Winter
2025-01-06,P019,Gaming Console,Electronics,204,45000,442,1,Monday,Winter
2025-01-06,P020,Webcam,Accessories,236,2200,501,1,Monday,Winter
2025-01-07,P001,Laptop,Electronics,194,55000,426,1,Tuesday,Winter
2025-01-07,P002,Smartphone,Electronics,219,25000,361,1,Tuesday,Winter
2025-01-07,P003,Headphones,Accessories,123,2500,1150,1,Tuesday,Winter
2025-01-07,P004,Keyboard,Accessories,171,1500,1173,1,Tuesday,Winter
2025-01-07,P005,Mouse,Accessories,83,800,852,1,Tuesday,Winter
2025-01-07,P006,Monitor,Electronics,97,12000,1056,1,Tuesday,Winter
2025-01-07,P007,Printer,Office Equipment,121,15000,420,1,Tuesday,Winter
2025-01-07,P008,Tablet,Electronics,77,18000,1124,1,Tuesday,Winter
2025-01-07,P009,Smartwatch,Electronics,153,5000,424,1,Tuesday,Winter
2025-01-07,P010,Camera,Electronics,205,30000,1099,1,Tuesday,Winter
2025-01-07,P011,Speaker,Accessories,126,3500,630,1,Tuesday,Winter
2025-01-07,P012,Router,Networking,243,2500,1139,1,Tuesday,Winter
2025-01-07,P013,SSD,Storage,245,4500,1186,1,Tuesday,Winter
2025-01-07,P014,Hard Disk,Storage,247,4000,362,1,Tuesday,Winter
2025-01-07,P015,USB Drive,Storage,157,700,1121,1,Tuesday,Winter
2025-01-07,P016,Power Bank,Accessories,200,1200,680,1,Tuesday,Winter
2025-01-07,P017,Microphone,Accessories,201,2800,429,1,Tuesday,Winter
2025-01-07,P018,Projector,Office Equipment,212,35000,587,1,Tuesday,Winter
2025-01-07,P019,Gaming Console,Electronics,50,45000,1006,1,Tuesday,Winter
2025-01-07,P020,Webcam,Accessories,82,2200,536,1,Tuesday,Winter
2025-01-08,P001,Laptop,Electronics,190,55000,1078,1,Wednesday,Winter
2025-01-08,P002,Smartphone,Electronics,109,25000,984,1,Wednesday,Winter
2025-01-08,P003,Headphones,Accessories,183,2500,862,1,Wednesday,Winter
2025-01-08,P004,Keyboard,Accessories,106,1500,724,1,Wednesday,Winter
2025-01-08,P005,Mouse,Accessories,128,800,267,1,Wednesday,Winter
2025-01-08,P006,Monitor,Electronics,140,12000,317,1,Wednesday,Winter
2025-01-08,P007,Printer,Office Equipment,85,15000,752,1,Wednesday,Winter
2025-01-08,P008,Tablet,Electronics,147,18000,1063,1,Wednesday,Winter
2025-01-08,P009,Smartwatch,Electronics,125,5000,526,1,Wednesday,Winter
2025-01-08,P010,Camera,Electronics,148,30000,681,1,Wednesday,Winter
2025-01-08,P011,Speaker,Accessories,139,3500,915,1,Wednesday,Winter
2025-01-08,P012,Router,Networking,174,2500,714,1,Wednesday,Winter
2025-01-08,P013,SSD,Storage,199,4500,884,1,Wednesday,Winter
2025-01-08,P014,Hard Disk,Storage,125,4000,311,1,Wednesday,Winter
2025-01-08,P015,USB Drive,Storage,150,700,1077,1,Wednesday,Winter
2025-01-08,P016,Power Bank,Accessories,209,1200,450,1,Wednesday,Winter
2025-01-08,P017,Microphone,Accessories,105,2800,1127,1,Wednesday,Winter
2025-01-08,P018,Projector,Office Equipment,113,35000,923,1,Wednesday,Winter
2025-01-08,P019,Gaming Console,Electronics,247,45000,978,1,Wednesday,Winter
2025-01-08,P020,Webcam,Accessories,193,2200,382,1,Wednesday,Winter
2025-01-09,P001,Laptop,Electronics,178,55000,467,1,Thursday,Winter
2025-01-09,P002,Smartphone,Electronics,124,25000,646,1,Thursday,Winter
2025-01-09,P003,Headphones,Accessories,180,2500,524,1,Thursday,Winter
2025-01-09,P004,Keyboard,Accessories,51,1500,898,1,Thursday,Winter
2025-01-09,P005,Mouse,Accessories,165,800,662,1,Thursday,Winter
2025-01-09,P006,Monitor,Electronics,116,12000,834,1,Thursday,Winter
2025-01-09,P007,Printer,Office Equipment,242,15000,1139,1,Thursday,Winter
2025-01-09,P008,Tablet,Electronics,180,18000,998,1,Thursday,Winter
2025-01-09,P009,Smartwatch,Electronics,150,5000,602,1,Thursday,Winter
2025-01-09,P010,Camera,Electronics,127,30000,307,1,Thursday,Winter
2025-01-09,P011,Speaker,Accessories,248,3500,356,1,Thursday,Winter
2025-01-09,P012,Router,Networking,170,2500,835,1,Thursday,Winter
2025-01-09,P013,SSD,Storage,197,4500,928,1,Thursday,Winter
2025-01-09,P014,Hard Disk,Storage,159,4000,434,1,Thursday,Winter
2025-01-09,P015,USB Drive,Storage,240,700,242,1,Thursday,Winter
2025-01-09,P016,Power Bank,Accessories,132,1200,516,1,Thursday,Winter
2025-01-09,P017,Microphone,Accessories,250,2800,450,1,Thursday,Winter
2025-01-09,P018,Projector,Office Equipment,140,35000,632,1,Thursday,Winter
2025-01-09,P019,Gaming Console,Electronics,157,45000,503,1,Thursday,Winter
2025-01-09,P020,Webcam,Accessories,65,2200,1198,1,Thursday,Winter
2025-01-10,P001,Laptop,Electronics,103,55000,397,1,Friday,Winter
2025-01-10,P002,Smartphone,Electronics,195,25000,1042,1,Friday,Winter
2025-01-10,P003,Headphones,Accessories,110,2500,763,1,Friday,Winter
2025-01-10,P004,Keyboard,Accessories,104,1500,813,1,Friday,Winter
2025-01-10,P005,Mouse,Accessories,154,800,793,1,Friday,Winter
2025-01-10,P006,Monitor,Electronics,152,12000,890,1,Friday,Winter
2025-01-10,P007,Printer,Office Equipment,210,15000,288,1,Friday,Winter
2025-01-10,P008,Tablet,Electronics,117,18000,333,1,Friday,Winter
2025-01-10,P009,Smartwatch,Electronics,73,5000,694,1,Friday,Winter
2025-01-10,P010,Camera,Electronics,206,30000,650,1,Friday,Winter
2025-01-10,P011,Speaker,Accessories,72,3500,661,1,Friday,Winter
2025-01-10,P012,Router,Networking,135,2500,966,1,Friday,Winter
2025-01-10,P013,SSD,Storage,207,4500,938,1,Friday,Winter
2025-01-10,P014,Hard Disk,Storage,154,4000,230,1,Friday,Winter
2025-01-10,P015,USB Drive,Storage,101,700,777,1,Friday,Winter
2025-01-10,P016,Power Bank,Accessories,176,1200,1091,1,Friday,Winter
2025-01-10,P017,Microphone,Accessories,73,2800,335,1,Friday,Winter
2025-01-10,P018,Projector,Office Equipment,216,35000,275,1,Friday,Winter
2025-01-10,P019,Gaming Console,Electronics,163,45000,475,1,Friday,Winter
2025-01-10,P020,Webcam,Accessories,69,2200,615,1,Friday,Winter
2025-01-11,P001,Laptop,Electronics,103,55000,1143,1,Saturday,Winter
2025-01-11,P002,Smartphone,Electronics,61,25000,941,1,Saturday,Winter
2025-01-11,P003,Headphones,Accessories,135,2500,338,1,Saturday,Winter
2025-01-11,P004,Keyboard,Accessories,52,1500,575,1,Saturday,Winter
2025-01-11,P005,Mouse,Accessories,192,800,1185,1,Saturday,Winter
2025-01-11,P006,Monitor,Electronics,184,12000,836,1,Saturday,Winter
2025-01-11,P007,Printer,Office Equipment,168,15000,779,1,Saturday,Winter
2025-01-11,P008,Tablet,Electronics,243,18000,606,1,Saturday,Winter
2025-01-11,P009,Smartwatch,Electronics,183,5000,768,1,Saturday,Winter
2025-01-11,P010,Camera,Electronics,238,30000,268,1,Saturday,Winter
2025-01-11,P011,Speaker,Accessories,82,3500,687,1,Saturday,Winter
2025-01-11,P012,Router,Networking,135,2500,1188,1,Saturday,Winter
2025-01-11,P013,SSD,Storage,76,4500,756,1,Saturday,Winter
2025-01-11,P014,Hard Disk,Storage,95,4000,991,1,Saturday,Winter
2025-01-11,P015,USB Drive,Storage,233,700,397,1,Saturday,Winter
2025-01-11,P016,Power Bank,Accessories,226,1200,601,1,Saturday,Winter
2025-01-11,P017,Microphone,Accessories,213,2800,251,1,Saturday,Winter
2025-01-11,P018,Projector,Office Equipment,111,35000,1110,1,Saturday,Winter
2025-01-11,P019,Gaming Console,Electronics,73,45000,803,1,Saturday,Winter
2025-01-11,P020,Webcam,Accessories,64,2200,852,1,Saturday,Winter
2025-01-12,P001,Laptop,Electronics,187,55000,992,1,Sunday,Winter
2025-01-12,P002,Smartphone,Electronics,196,25000,670,1,Sunday,Winter
2025-01-12,P003,Headphones,Accessories,98,2500,539,1,Sunday,Winter
2025-01-12,P004,Keyboard,Accessories,50,1500,809,1,Sunday,Winter
2025-01-12,P005,Mouse,Accessories,84,800,684,1,Sunday,Winter
2025-01-12,P006,Monitor,Electronics,74,12000,401,1,Sunday,Winter
2025-01-12,P007,Printer,Office Equipment,103,15000,1186,1,Sunday,Winter
2025-01-12,P008,Tablet,Electronics,146,18000,427,1,Sunday,Winter
2025-01-12,P009,Smartwatch,Electronics,160,5000,301,1,Sunday,Winter
2025-01-12,P010,Camera,Electronics,115,30000,1111,1,Sunday,Winter
2025-01-12,P011,Speaker,Accessories,66,3500,683,1,Sunday,Winter
2025-01-12,P012,Router,Networking,122,2500,934,1,Sunday,Winter
2025-01-12,P013,SSD,Storage,144,4500,976,1,Sunday,Winter
2025-01-12,P014,Hard Disk,Storage,148,4000,826,1,Sunday,Winter
2025-01-12,P015,USB Drive,Storage,75,700,648,1,Sunday,Winter
2025-01-12,P016,Power Bank,Accessories,202,1200,594,1,Sunday,Winter
2025-01-12,P017,Microphone,Accessories,60,2800,344,1,Sunday,Winter
2025-01-12,P018,Projector,Office Equipment,191,35000,775,1,Sunday,Winter
2025-01-12,P019,Gaming Console,Electronics,171,45000,406,1,Sunday,Winter
2025-01-12,P020,Webcam,Accessories,126,2200,308,1,Sunday,Winter
2025-01-13,P001,Laptop,Electronics,150,55000,1070,1,Monday,Winter
2025-01-13,P002,Smartphone,Electronics,57,25000,1069,1,Monday,Winter
2025-01-13,P003,Headphones,Accessories,161,2500,542,1,Monday,Winter
2025-01-13,P004,Keyboard,Accessories,63,1500,608,1,Monday,Winter
2025-01-13,P005,Mouse,Accessories,205,800,573,1,Monday,Winter
2025-01-13,P006,Monitor,Electronics,196,12000,1013,1,Monday,Winter
2025-01-13,P007,Printer,Office Equipment,226,15000,774,1,Monday,Winter
2025-01-13,P008,Tablet,Electronics,232,18000,287,1,Monday,Winter
2025-01-13,P009,Smartwatch,Electronics,96,5000,857,1,Monday,Winter
2025-01-13,P010,Camera,Electronics,55,30000,677,1,Monday,Winter
2025-01-13,P011,Speaker,Accessories,236,3500,715,1,Monday,Winter
2025-01-13,P012,Router,Networking,102,2500,346,1,Monday,Winter
2025-01-13,P013,SSD,Storage,123,4500,288,1,Monday,Winter
2025-01-13,P014,Hard Disk,Storage,108,4000,759,1,Monday,Winter
2025-01-13,P015,USB Drive,Storage,64,700,760,1,Monday,Winter
2025-01-13,P016,Power Bank,Accessories,236,1200,275,1,Monday,Winter
2025-01-13,P017,Microphone,Accessories,238,2800,614,1,Monday,Winter
2025-01-13,P018,Projector,Office Equipment,75,35000,347,1,Monday,Winter
2025-01-13,P019,Gaming Console,Electronics,68,45000,651,1,Monday,Winter
2025-01-13,P020,Webcam,Accessories,98,2200,851,1,Monday,Winter
2025-01-14,P001,Laptop,Electronics,151,55000,949,1,Tuesday,Winter
2025-01-14,P002,Smartphone,Electronics,193,25000,1166,1,Tuesday,Winter
2025-01-14,P003,Headphones,Accessories,154,2500,451,1,Tuesday,Winter
2025-01-14,P004,Keyboard,Accessories,167,1500,684,1,Tuesday,Winter
2025-01-14,P005,Mouse,Accessories,91,800,893,1,Tuesday,Winter
2025-01-14,P006,Monitor,Electronics,54,12000,444,1,Tuesday,Winter
2025-01-14,P007,Printer,Office Equipment,199,15000,867,1,Tuesday,Winter
2025-01-14,P008,Tablet,Electronics,206,18000,519,1,Tuesday,Winter
2025-01-14,P009,Smartwatch,Electronics,250,5000,919,1,Tuesday,Winter
2025-01-14,P010,Camera,Electronics,245,30000,731,1,Tuesday,Winter
2025-01-14,P011,Speaker,Accessories,214,3500,1097,1,Tuesday,Winter
2025-01-14,P012,Router,Networking,206,2500,645,1,Tuesday,Winter
2025-01-14,P013,SSD,Storage,61,4500,829,1,Tuesday,Winter
2025-01-14,P014,Hard Disk,Storage,233,4000,954,1,Tuesday,Winter
2025-01-14,P015,USB Drive,Storage,86,700,346,1,Tuesday,Winter
2025-01-14,P016,Power Bank,Accessories,89,1200,230,1,Tuesday,Winter
2025-01-14,P017,Microphone,Accessories,156,2800,1129,1,Tuesday,Winter
2025-01-14,P018,Projector,Office Equipment,204,35000,1010,1,Tuesday,Winter
2025-01-14,P019,Gaming Console,Electronics,66,45000,218,1,Tuesday,Winter
2025-01-14,P020,Webcam,Accessories,107,2200,552,1,Tuesday,Winter
2025-01-15,P001,Laptop,Electronics,109,55000,659,1,Wednesday,Winter
2025-01-15,P002,Smartphone,Electronics,111,25000,249,1,Wednesday,Winter
2025-01-15,P003,Headphones,Accessories,72,2500,1064,1,Wednesday,Winter
2025-01-15,P004,Keyboard,Accessories,211,1500,543,1,Wednesday,Winter
2025-01-15,P005,Mouse,Accessories,105,800,614,1,Wednesday,Winter
2025-01-15,P006,Monitor,Electronics,181,12000,381,1,Wednesday,Winter
2025-01-15,P007,Printer,Office Equipment,66,15000,319,1,Wednesday,Winter
2025-01-15,P008,Tablet,Electronics,145,18000,1114,1,Wednesday,Winter
2025-01-15,P009,Smartwatch,Electronics,84,5000,489,1,Wednesday,Winter
2025-01-15,P010,Camera,Electronics,216,30000,1095,1,Wednesday,Winter
2025-01-15,P011,Speaker,Accessories,135,3500,576,1,Wednesday,Winter
2025-01-15,P012,Router,Networking,90,2500,591,1,Wednesday,Winter
2025-01-15,P013,SSD,Storage,121,4500,880,1,Wednesday,Winter
2025-01-15,P014,Hard Disk,Storage,74,4000,1139,1,Wednesday,Winter
2025-01-15,P015,USB Drive,Storage,153,700,806,1,Wednesday,Winter
2025-01-15,P016,Power Bank,Accessories,114,1200,796,1,Wednesday,Winter
2025-01-15,P017,Microphone,Accessories,94,2800,724,1,Wednesday,Winter
2025-01-15,P018,Projector,Office Equipment,104,35000,325,1,Wednesday,Winter
2025-01-15,P019,Gaming Console,Electronics,126,45000,1135,1,Wednesday,Winter
2025-01-15,P020,Webcam,Accessories,70,2200,801,1,Wednesday,Winter
2025-01-16,P001,Laptop,Electronics,207,55000,441,1,Thursday,Winter
2025-01-16,P002,Smartphone,Electronics,248,25000,447,1,Thursday,Winter
2025-01-16,P003,Headphones,Accessories,177,2500,583,1,Thursday,Winter
2025-01-16,P004,Keyboard,Accessories,241,1500,637,1,Thursday,Winter
2025-01-16,P005,Mouse,Accessories,66,800,658,1,Thursday,Winter
2025-01-16,P006,Monitor,Electronics,113,12000,391,1,Thursday,Winter
2025-01-16,P007,Printer,Office Equipment,81,15000,254,1,Thursday,Winter
2025-01-16,P008,Tablet,Electronics,148,18000,1076,1,Thursday,Winter
2025-01-16,P009,Smartwatch,Electronics,85,5000,816,1,Thursday,Winter
2025-01-16,P010,Camera,Electronics,118,30000,510,1,Thursday,Winter
2025-01-16,P011,Speaker,Accessories,64,3500,440,1,Thursday,Winter
2025-01-16,P012,Router,Networking,162,2500,886,1,Thursday,Winter
2025-01-16,P013,SSD,Storage,175,4500,273,1,Thursday,Winter
2025-01-16,P014,Hard Disk,Storage,55,4000,728,1,Thursday,Winter
2025-01-16,P015,USB Drive,Storage,199,700,510,1,Thursday,Winter
2025-01-16,P016,Power Bank,Accessories,188,1200,787,1,Thursday,Winter
2025-01-16,P017,Microphone,Accessories,147,2800,1183,1,Thursday,Winter
2025-01-16,P018,Projector,Office Equipment,188,35000,1122,1,Thursday,Winter
2025-01-16,P019,Gaming Console,Electronics,229,45000,1148,1,Thursday,Winter
2025-01-16,P020,Webcam,Accessories,59,2200,715,1,Thursday,Winter
2025-01-17,P001,Laptop,Electronics,192,55000,927,1,Friday,Winter
2025-01-17,P002,Smartphone,Electronics,57,25000,831,1,Friday,Winter
2025-01-17,P003,Headphones,Accessories,183,2500,711,1,Friday,Winter
2025-01-17,P004,Keyboard,Accessories,212,1500,1197,1,Friday,Winter
2025-01-17,P005,Mouse,Accessories,125,800,244,1,Friday,Winter
2025-01-17,P006,Monitor,Electronics,167,12000,203,1,Friday,Winter
2025-01-17,P007,Printer,Office Equipment,53,15000,599,1,Friday,Winter
2025-01-17,P008,Tablet,Electronics,117,18000,924,1,Friday,Winter
2025-01-17,P009,Smartwatch,Electronics,246,5000,913,1,Friday,Winter
2025-01-17,P010,Camera,Electronics,96,30000,1191,1,Friday,Winter
2025-01-17,P011,Speaker,Accessories,219,3500,514,1,Friday,Winter
2025-01-17,P012,Router,Networking,189,2500,1020,1,Friday,Winter
2025-01-17,P013,SSD,Storage,241,4500,1007,1,Friday,Winter
2025-01-17,P014,Hard Disk,Storage,93,4000,926,1,Friday,Winter
2025-01-17,P015,USB Drive,Storage,132,700,1115,1,Friday,Winter
2025-01-17,P016,Power Bank,Accessories,53,1200,218,1,Friday,Winter
2025-01-17,P017,Microphone,Accessories,147,2800,422,1,Friday,Winter
2025-01-17,P018,Projector,Office Equipment,120,35000,1066,1,Friday,Winter
2025-01-17,P019,Gaming Console,Electronics,85,45000,368,1,Friday,Winter
2025-01-17,P020,Webcam,Accessories,244,2200,234,1,Friday,Winter
2025-01-18,P001,Laptop,Electronics,162,55000,814,1,Saturday,Winter
2025-01-18,P002,Smartphone,Electronics,180,25000,588,1,Saturday,Winter
2025-01-18,P003,Headphones,Accessories,202,2500,1088,1,Saturday,Winter
2025-01-18,P004,Keyboard,Accessories,94,1500,683,1,Saturday,Winter
2025-01-18,P005,Mouse,Accessories,159,800,891,1,Saturday,Winter
2025-01-18,P006,Monitor,Electronics,65,12000,621,1,Saturday,Winter
2025-01-18,P007,Printer,Office Equipment,186,15000,1145,1,Saturday,Winter
2025-01-18,P008,Tablet,Electronics,241,18000,483,1,Saturday,Winter
2025-01-18,P009,Smartwatch,Electronics,208,5000,856,1,Saturday,Winter
2025-01-18,P010,Camera,Electronics,76,30000,579,1,Saturday,Winter
2025-01-18,P011,Speaker,Accessories,218,3500,1161,1,Saturday,Winter
2025-01-18,P012,Router,Networking,250,2500,371,1,Saturday,Winter
2025-01-18,P013,SSD,Storage,156,4500,797,1,Saturday,Winter
2025-01-18,P014,Hard Disk,Storage,198,4000,334,1,Saturday,Winter
2025-01-18,P015,USB Drive,Storage,178,700,406,1,Saturday,Winter
2025-01-18,P016,Power Bank,Accessories,142,1200,314,1,Saturday,Winter
2025-01-18,P017,Microphone,Accessories,225,2800,614,1,Saturday,Winter
2025-01-18,P018,Projector,Office Equipment,201,35000,662,1,Saturday,Winter
2025-01-18,P019,Gaming Console,Electronics,143,45000,554,1,Saturday,Winter
2025-01-18,P020,Webcam,Accessories,62,2200,346,1,Saturday,Winter
2025-01-19,P001,Laptop,Electronics,144,55000,587,1,Sunday,Winter
2025-01-19,P002,Smartphone,Electronics,117,25000,1028,1,Sunday,Winter
